Month,global_prod
1/1/2004,282574
1/2/2004,187742
1/3/2004,239666
1/4/2004,212569
1/5/2004,261301
1/6/2004,214950
1/7/2004,228348
1/8/2004,111540
1/9/2004,67984
1/10/2004,100900
1/11/2004,239919
1/12/2004,233457
1/1/2005,275531
1/2/2005,184771
1/3/2005,163698
1/4/2005,283623
1/5/2005,263758
1/6/2005,171057
1/7/2005,168224
1/8/2005,100250
1/9/2005,61022
1/10/2005,132708
1/11/2005,262351
1/12/2005,286783
1/1/2006,332051
1/2/2006,263314
1/3/2006,289192
1/4/2006,394544
1/5/2006,230651
1/6/2006,323337
1/7/2006,336557
1/8/2006,100989
1/9/2006,71672
1/10/2006,174585
1/11/2006,217179
1/12/2006,238217
1/1/2007,237377
1/2/2007,224310
1/3/2007,191373
1/4/2007,234601
1/5/2007,245964
1/6/2007,232028
1/7/2007,235313
1/8/2007,142157
1/9/2007,41919
1/10/2007,70349
1/11/2007,177398
1/12/2007,292736
1/1/2008,339322
1/2/2008,265906
1/3/2008,196341
1/4/2008,301634
1/5/2008,317802
1/6/2008,349407
1/7/2008,165921
1/8/2008,103870
1/9/2008,63381
1/10/2008,166978
1/11/2008,250044
1/12/2008,396132
1/1/2009,266113
1/2/2009,213328
1/3/2009,204945
1/4/2009,237614
1/5/2009,154268
1/6/2009,349760
1/7/2009,311959
1/8/2009,73341
1/9/2009,45835
1/10/2009,136509
1/11/2009,315101
1/12/2009,358718
1/1/2010,323950
1/2/2010,274333
1/3/2010,241649
1/4/2010,232902
1/5/2010,212021
1/6/2010,165044
1/7/2010,125198
1/8/2010,84908
1/9/2010,87242
1/10/2010,144543
1/11/2010,183302
1/12/2010,277647
1/1/2011,219608
1/2/2011,291087
1/3/2011,215827
1/4/2011,344886
1/5/2011,261196
1/6/2011,324367
1/7/2011,280347
1/8/2011,110310
1/9/2011,105276
1/10/2011,177384
1/11/2011,271087
1/12/2011,443551
1/1/2012,355436
1/2/2012,255014
1/3/2012,304980
1/4/2012,331803
1/5/2012,300917
1/6/2012,316494
1/7/2012,232208
1/8/2012,100447
1/9/2012,36763
1/10/2012,104961
1/11/2012,267683
1/12/2012,405886
1/1/2013,363964
1/2/2013,293926
1/3/2013,215390
1/4/2013,217319
1/5/2013,123583
1/6/2013,203515
1/7/2013,247509
1/8/2013,143425
1/9/2013,38357
1/10/2013,75237
1/11/2013,209374
1/12/2013,221201
1/1/2014,272971
1/2/2014,223156
1/3/2014,129906
1/4/2014,136535
1/5/2014,143966
1/6/2014,303584
1/7/2014,239984
1/8/2014,111990
1/9/2014,7502
1/10/2014,25042
1/11/2014,77635
1/12/2014,186563
1/1/2015,181694
1/2/2015,145321
1/3/2015,166760
1/4/2015,213504
1/5/2015,222575
1/6/2015,176019
1/7/2015,214184
1/8/2015,71155
1/9/2015,22334
1/10/2015,85596
1/11/2015,178756
1/12/2015,231190
1/1/2016,255727
1/2/2016,213918
1/3/2016,183031
1/4/2016,208352
1/5/2016,178174
1/6/2016,153327
1/7/2016,166163
1/8/2016,138647
1/9/2016,22881
1/10/2016,46920
1/11/2016,125229
1/12/2016,286163
1/1/2017,277426
1/2/2017,261807
1/3/2017,230218
1/4/2017,229330
1/5/2017,159425
1/6/2017,245775
1/7/2017,282407
1/8/2017,137818
1/9/2017,15863
1/10/2017,103415
1/11/2017,213314
1/12/2017,223273
1/1/2018,263237
1/2/2018,189158
1/3/2018,186534
1/4/2018,213924
1/5/2018,145070
1/6/2018,271492
1/7/2018,270448
1/8/2018,102974
1/9/2018,5457
1/10/2018,54274
1/11/2018,132923
1/12/2018,202044
1/1/2019,200643
1/2/2019,194759
1/3/2019,160634
1/4/2019,121336
1/5/2019,136844
1/6/2019,92071
1/7/2019,164605
1/8/2019,57956
1/9/2019,6772
1/10/2019,21267
1/11/2019,44641
1/12/2019,105596
1/1/2020,140828
1/2/2020,121466
1/3/2020,115732
1/4/2020,128558
1/5/2020,85979
1/6/2020,87480
1/7/2020,64849
1/8/2020,32145
1/9/2020,3728
1/10/2020,39845
1/11/2020,78091
1/12/2020,192221
1/1/2021,131692
1/2/2021,155226
1/3/2021,94175
1/4/2021,132230
1/5/2021,154023
1/6/2021,128273
1/7/2021,144891
1/8/2021,53265
1/9/2021,25712
1/10/2021,77680
1/11/2021,92191
1/12/2021,182193
1/1/2022,127434
1/2/2022,139591
1/3/2022,140640
1/4/2022,157243
1/5/2022,118231
1/6/2022,191301
1/7/2022,156861
1/8/2022,39889
1/9/2022,17101
1/10/2022,97414
1/11/2022,131566
1/12/2022,140035
1/1/2023,175670
1/2/2023,117990
1/3/2023,93199
1/4/2023,93796
1/5/2023,83311
1/6/2023,73230
1/7/2023,102059
1/8/2023,45013
1/9/2023,5929
1/10/2023,17610
1/11/2023,28015
1/12/2023,83001
1/1/2024,104311
1/2/2024,99501
1/3/2024,101150
1/4/2024,107324
1/5/2024,114495
1/6/2024,89200
1/7/2024,62166
1/8/2024,26311
1/9/2024,7163
1/10/2024,23814
1/11/2024,73589
1/12/2024,83364
1/1/2025,116128
1/2/2025,116665
1/3/2025,95496
1/4/2025,69419
1/5/2025,91357
1/6/2025,133865
1/7/2025,112067
1/8/2025,39796
1/9/2025,9073
1/10/2025,64797
1/11/2025,178162
1/12/2025,182572
1/1/2026,132084
1/2/2026,117261
